game,commence_time,round_number
Western Bulldogs v Adelaide Crows,2026-06-11T09:30:00Z,14
Western Bulldogs v Adelaide Crows,2026-06-11T09:32:00Z,14
Western Bulldogs v Melbourne Demons,2026-05-24T05:15:50Z,11
St Kilda Saints v Hawthorn Hawks,2026-05-28T09:30:00Z,12
Carlton Blues v Geelong Cats,2026-05-29T09:40:00Z,12
Sydney Swans v Richmond Tigers,2026-05-30T03:15:44Z,12
Brisbane Lions v Fremantle Dockers,2026-05-30T06:15:19Z,12
Western Bulldogs v Collingwood Magpies,2026-05-30T09:35:58Z,12
Melbourne Demons v Greater Western Sydney Giants,2026-05-31T05:15:16Z,12
West Coast Eagles v Essendon Bombers,2026-05-31T09:20:54Z,12
Geelong Cats v Gold Coast Suns,2026-06-12T09:40:00Z,14
Geelong Cats v Gold Coast Suns,2026-06-12T09:40:38Z,14
Melbourne Demons v Essendon Bombers,2026-06-13T03:15:22Z,14
North Melbourne Kangaroos v West Coast Eagles,2026-06-13T06:15:08Z,14
Port Adelaide Power v Sydney Swans,2026-06-13T09:35:00Z,14
Port Adelaide Power v Sydney Swans,2026-06-13T09:35:37Z,14
Richmond Tigers v Brisbane Lions,2026-06-14T03:10:00Z,14
Richmond Tigers v Brisbane Lions,2026-06-14T03:10:11Z,14
St Kilda Saints v Greater Western Sydney Giants,2026-06-14T05:15:00Z,14
St Kilda Saints v Greater Western Sydney Giants,2026-06-14T05:15:07Z,14
